epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,63.4786,0.70565,1.25878,1.11484,0.98498,0.375,0.58545,0.5063,0.76177,2.26749,1.08323,0.000335053,0.000335053,0.000335053
59,64.2199,0.66095,1.44754,1.07445,0.98036,0.375,0.58741,0.506,0.80322,2.25983,1.12408,0.00032744,0.00032744,0.00032744
60,65.191,0.5739,1.35335,1.02652,0.97037,0.375,0.64434,0.52121,0.83773,2.12285,1.1659,0.000319827,0.000319827,0.000319827
61,66.1177,0.62723,1.35345,1.05868,0.97037,0.375,0.64434,0.52121,0.83773,2.12285,1.1659,0.000312214,0.000312214,0.000312214
62,67.0626,0.57535,1.2036,0.97184,0.95146,0.375,0.64273,0.51937,0.87934,2.16399,1.18302,0.000304601,0.000304601,0.000304601
63,67.8027,0.60913,1.29557,1.01892,0.93832,0.375,0.57566,0.47402,0.89243,2.27662,1.16918,0.000296988,0.000296988,0.000296988
64,68.7474,0.68319,1.38498,1.08544,0.93131,0.375,0.55298,0.44639,0.89993,2.31532,1.14949,0.000289375,0.000289375,0.000289375
65,69.6855,0.62954,1.26676,1.01333,0.93131,0.375,0.55298,0.44639,0.89993,2.31532,1.14949,0.000281762,0.000281762,0.000281762
66,70.6228,0.54803,1.16193,0.97543,0.93299,0.375,0.54881,0.45943,0.88467,2.3371,1.12558,0.000274148,0.000274148,0.000274148
67,71.7493,0.73162,1.32231,1.09095,0.94755,0.375,0.55129,0.42382,0.87102,2.31144,1.10911,0.000266535,0.000266535,0.000266535
68,72.893,0.67615,1.94572,1.02323,0.95783,0.375,0.56396,0.43356,0.83354,2.31626,1.09731,0.000258922,0.000258922,0.000258922
69,74.1345,0.58394,1.30312,0.97864,0.95783,0.375,0.56396,0.43356,0.83354,2.31626,1.09731,0.000251309,0.000251309,0.000251309
70,75.2739,0.64768,1.45209,1.06772,0.96981,0.375,0.50132,0.40305,0.77856,2.27765,1.07352,0.000243696,0.000243696,0.000243696
71,76.4369,0.68246,1.19196,1.06244,0.97647,0.375,0.50052,0.43183,0.74118,2.24685,1.04852,0.000236083,0.000236083,0.000236083
72,77.4603,0.53744,1.24898,1.00051,0.98055,0.375,0.49672,0.43111,0.74267,2.19976,1.03809,0.00022847,0.00022847,0.00022847
73,78.6648,0.58184,1.18195,1.01478,0.98055,0.375,0.49672,0.43111,0.74267,2.19976,1.03809,0.000220857,0.000220857,0.000220857
74,79.8726,0.57232,1.1366,0.99729,0.983,0.375,0.49695,0.43246,0.72436,2.17515,1.0229,0.000213244,0.000213244,0.000213244
75,80.9602,0.51398,1.38903,0.98519,0.98448,0.375,0.55926,0.5041,0.70987,2.12431,1.01852,0.000205631,0.000205631,0.000205631
76,82.0773,0.52886,1.1122,1.0106,0.98512,0.375,0.5656,0.50887,0.7055,2.12828,1.01967,0.000198018,0.000198018,0.000198018
77,82.9641,0.56067,1.45961,1.03642,0.98512,0.375,0.5656,0.50887,0.7055,2.12828,1.01967,0.000190404,0.000190404,0.000190404
78,83.8875,0.64566,1.17964,1.053,0.98542,0.375,0.57657,0.49843,0.6952,2.14313,1.01381,0.000182791,0.000182791,0.000182791
79,84.8243,0.53331,1.07884,1.01678,0.98584,0.375,0.58607,0.50254,0.67291,2.16546,1.00756,0.000175178,0.000175178,0.000175178
80,85.8445,0.54555,1.10169,0.95484,0.98661,0.375,0.58537,0.51523,0.64008,2.20124,0.99625,0.000167565,0.000167565,0.000167565
81,86.7614,0.5388,1.17121,0.97514,0.98661,0.375,0.58537,0.51523,0.64008,2.20124,0.99625,0.000159952,0.000159952,0.000159952
82,87.6898,0.58148,1.11265,0.98354,0.98749,0.375,0.5742,0.50437,0.61818,2.22515,0.98797,0.000152339,0.000152339,0.000152339
83,88.6278,0.51139,1.07161,0.98696,0.98834,0.375,0.56548,0.50157,0.59745,2.24967,0.98441,0.000144726,0.000144726,0.000144726
84,89.5497,0.54908,1.09066,0.96818,0.98845,0.375,0.56181,0.49398,0.59023,2.27252,0.98225,0.000137113,0.000137113,0.000137113
85,90.4576,0.54978,1.03988,0.96756,0.98845,0.375,0.56181,0.49398,0.59023,2.27252,0.98225,0.0001295,0.0001295,0.0001295
86,91.397,0.56595,1.18622,0.97731,0.98851,0.375,0.49365,0.44791,0.56943,2.29342,0.98357,0.000121887,0.000121887,0.000121887
87,92.286,0.47894,0.97777,0.9348,0.9885,0.375,0.51398,0.45784,0.5574,2.33132,0.98264,0.000114273,0.000114273,0.000114273
88,92.9685,0.51445,1.25749,1.09587,0.98824,0.375,0.51572,0.46079,0.54355,2.36906,0.98118,0.00010666,0.00010666,0.00010666
89,93.8988,0.53522,1.14647,0.99748,0.98824,0.375,0.51572,0.46079,0.54355,2.36906,0.98118,9.90472e-05,9.90472e-05,9.90472e-05
90,94.9303,0.5074,1.15234,1.04103,0.98828,0.375,0.57721,0.4925,0.55622,2.36195,0.98839,9.14341e-05,9.14341e-05,9.14341e-05
91,129.137,0.35545,1.25084,0.89244,0.98825,0.375,0.51616,0.46356,0.57996,2.39101,0.99181,8.3821e-05,8.3821e-05,8.3821e-05
92,129.809,0.39941,1.38383,0.95084,0.98897,0.375,0.51724,0.4624,0.5801,2.42566,0.98118,7.62079e-05,7.62079e-05,7.62079e-05
93,130.456,0.32004,1.25233,0.88649,0.98897,0.375,0.51724,0.4624,0.5801,2.42566,0.98118,6.85948e-05,6.85948e-05,6.85948e-05
94,131.114,0.41589,1.44381,0.94734,0.98915,0.375,0.51724,0.46259,0.59971,2.46581,0.99256,6.09817e-05,6.09817e-05,6.09817e-05
95,131.788,0.3164,1.22457,0.86933,0.98914,0.375,0.60655,0.52699,0.60597,2.49067,0.99487,5.33686e-05,5.33686e-05,5.33686e-05
96,132.468,0.32514,1.21168,0.84976,0.98916,0.375,0.6068,0.52903,0.60203,2.48807,0.99442,4.57555e-05,4.57555e-05,4.57555e-05
97,133.13,0.35973,1.30431,0.88339,0.98916,0.375,0.6068,0.52903,0.60203,2.48807,0.99442,3.81424e-05,3.81424e-05,3.81424e-05
98,133.778,0.34435,1.35712,0.85346,0.9893,0.375,0.60707,0.52832,0.59563,2.49184,0.99049,3.05293e-05,3.05293e-05,3.05293e-05
99,134.432,0.34007,1.25235,0.8809,0.98935,0.375,0.60769,0.52926,0.59415,2.51613,0.98757,2.29162e-05,2.29162e-05,2.29162e-05
100,135.187,0.34457,1.25411,0.85188,0.98936,0.375,0.62809,0.53487,0.5838,2.55037,0.98113,1.53031e-05,1.53031e-05,1.53031e-05
